,trade_type,entry_time,exit_time,entry_price,exit_price,profit,profitable,signal_time,stock
0,BUY,-1.0,-1.0,3234.1,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,ABB
0,SELL,-1.0,-1.0,22504.6,-1.0,-1.0,-1.0,2023-04-17 15:45:00+05:30,ABBOTINDIA
0,SELL,-1.0,-1.0,1873.8,-1.0,-1.0,-1.0,2023-04-17 15:45:00+05:30,ADANIENT
0,SELL,-1.0,-1.0,663.5,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,ADANIPORTS
0,BUY,-1.0,-1.0,3340.9,-1.0,-1.0,-1.0,2023-04-17 15:45:00+05:30,ALKEM
0,BUY,-1.0,-1.0,4388.4,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,APOLLOHOSP
0,BUY,-1.0,-1.0,326.9,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,APOLLOTYRE
0,BUY,-1.0,-1.0,2845.9,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,ASIANPAINT
0,SELL,-1.0,-1.0,1432.9,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,ASTRAL
0,SELL,-1.0,-1.0,561.3,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,AUROPHARMA
0,SELL,-1.0,-1.0,863.4,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,AXISBANK
0,SELL,-1.0,-1.0,4288.1,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,BAJAJ-AUTO
0,BUY,-1.0,-1.0,2086.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,BALKRISIND
0,SELL,-1.0,-1.0,206.3,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,BANDHANBNK
0,BUY,-1.0,-1.0,1410.5,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,BATAINDIA
0,BUY,-1.0,-1.0,581.4,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,BERGEPAINT
0,BUY,2023-04-17 11:45:00+05:30,2023-04-17 15:15:00+05:30,768.8,776.4,7.600000000000023,1.0,2023-04-17 10:00:00+05:30,BHARATFORG
0,BUY,-1,-1,760.7,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,BHARTIARTL
0,SELL,-1,-1,223.8,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,BIOCON
0,BUY,-1,-1,18928.7,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,BOSCHLTD
0,BUY,-1,-1,335.9,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,BPCL
0,SELL,-1,-1,4327.3,-2.0,-1.0,-1.0,2023-04-17 13:15:00+05:30,BRITANNIA
0,BUY,-1,-1,298.0,-1.0,-1.0,-1.0,2023-04-17 15:45:00+05:30,CANBK
0,SELL,-1,-1,569.0,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,CANFINHOME
0,SELL,-1,-1,284.7,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,CHAMBLFERT
0,SELL,-1,-1,835.6,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,CHOLAFIN
0,BUY,-1,-1,908.3,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,CIPLA
0,BUY,-1,-1,229.8,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,COALINDIA
0,BUY,-1,-1,3907.9,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,COFORGE
0,SELL,-1,-1,923.4,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,COROMANDEL
0,SELL,-1,-1,1502.1,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,CUMMINSIND
0,BUY,-1,-1,2041.7,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,DALBHARAT
0,BUY,-1,-1,1856.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,DEEPAKNTR
0,BUY,-1,-1,191.8,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,DELTACORP
0,SELL,-1,-1,3131.7,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,DIVISLAB
0,SELL,-1,-1,2930.7,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,DIXON
0,SELL,-1,-1,4840.8,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,DRREDDY
0,SELL,-1,-1,187.7,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,EXIDEIND
0,BUY,-1,-1,493.8,-2.0,-1.0,-1.0,2023-04-17 12:00:00+05:30,GLENMARK
0,SELL,-1,-1,294.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,GRANULES
0,BUY,-1,-1,1725.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,GRASIM
0,BUY,-1,-1,470.7,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,GUJGASLTD
0,SELL,-1,-1,2829.1,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,HAL
0,SELL,-1,-1,1207.9,-2.0,-1.0,-1.0,2023-04-17 12:00:00+05:30,HAVELLS
0,BUY,-1,-1,1044.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,HCLTECH
0,BUY,-1,-1,2746.1,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,HDFC
0,BUY,-1,-1,1808.2,-1.0,-1.0,-1.0,2023-04-17 15:45:00+05:30,HDFCAMC
0,SELL,-1,-1,1663.4,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,HDFCBANK
0,SELL,-1,-1,529.4,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,HDFCLIFE
0,BUY,-1,-1,2467.8,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,HEROMOTOCO
0,BUY,-1,-1,429.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,HINDALCO
0,BUY,-1,-1,2556.8,-1.0,-1.0,-1.0,2023-04-17 15:45:00+05:30,HINDUNILVR
0,BUY,-1,-1,36107.5,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,HONAUT
0,SELL,-1,-1,898.5,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,ICICIBANK
0,BUY,-1,-1,1107.6,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,ICICIGI
0,BUY,-1,-1,451.7,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,ICICIPRULI
0,BUY,-1,-1,154.3,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,IEX
0,SELL,-1,-1,490.9,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,IGL
0,BUY,-1,-1,333.0,-1.0,-1.0,-1.0,2023-04-17 15:45:00+05:30,INDHOTEL
0,SELL,-1,-1,191.5,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,INDIACEM
0,BUY,-1,-1,1260.1,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,INFY
0,BUY,-1,-1,434.3,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,INTELLECT
0,BUY,-1,-1,815.8,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,IPCALAB
0,BUY,-1,-1,597.1,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,IRCTC
0,SELL,-1,-1,557.2,-2.0,-1.0,-1.0,2023-04-17 11:00:00+05:30,JINDALSTEL
0,SELL,-1,-1,2989.7,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,JKCEMENT
0,BUY,-1,-1,432.3,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,JUBLFOOD
0,BUY,-1,-1,1896.4,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,KOTAKBANK
0,SELL,-1,-1,1885.1,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,LALPATHLAB
0,BUY,-1,-1,305.0,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,LAURUSLABS
0,BUY,-1,-1,332.5,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,LICHSGFIN
0,BUY,-1,-1,2215.0,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,LT
0,BUY,2023-04-17 12:30:00+05:30,2023-04-17 15:15:00+05:30,4293.3,4323.0,29.699999999999818,1.0,2023-04-17 11:15:00+05:30,LTIM
0,BUY,-1,-1,658.9,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,LUPIN
0,SELL,-1,-1,1203.3,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,M&M
0,BUY,2023-04-17 13:15:00+05:30,2023-04-17 15:15:00+05:30,261.5,260.75,-0.75,0.0,2023-04-17 10:00:00+05:30,M&MFIN
0,BUY,2023-04-17 10:15:00+05:30,2023-04-17 15:15:00+05:30,477.9,479.1,1.2000000000000455,1.0,2023-04-17 10:00:00+05:30,MARICO
0,SELL,-1,-1,8668.0,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,MARUTI
0,BUY,-1,-1,766.8,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,MCDOWELL-N
0,BUY,-1,-1,1475.1,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,MCX
0,BUY,-1,-1,638.7,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,MFSL
0,SELL,-1,-1,1012.3,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,MGL
0,BUY,-1,-1,1743.9,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,MPHASIS
0,SELL,-1,-1,85094.7,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,MRF
0,BUY,-1,-1,1050.1,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,MUTHOOTFIN
0,BUY,-1,-1,3675.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,NAUKRI
0,BUY,-1,-1,4541.4,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,NAVINFLUOR
0,SELL,-1,-1,20209.4,-1.0,-1.0,-1.0,2023-04-17 15:45:00+05:30,NESTLEIND
0,BUY,-1,-1,169.9,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,NTPC
0,SELL,-1,-1,915.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,OBEROIRLTY
0,SELL,-1,-1,160.0,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,ONGC
0,SELL,-1,-1,37648.2,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,PAGEIND
0,SELL,-1,-1,701.9,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,PEL
0,BUY,2023-04-17 13:00:00+05:30,2023-04-17 15:15:00+05:30,4175.2,4210.0,34.80000000000018,1.0,2023-04-17 11:00:00+05:30,PERSISTENT
0,BUY,-1,-1,234.0,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,PETRONET
0,BUY,-1,-1,165.6,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,PFC
0,BUY,-1,-1,158.3,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,RAIN
0,BUY,-1,-1,764.7,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,RAMCOCEM
0,SELL,-1,-1,2349.0,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,RELIANCE
0,SELL,-1,-1,760.7,-1.0,-1.0,-1.0,2023-04-17 15:45:00+05:30,SBICARD
0,BUY,2023-04-17 12:45:00+05:30,2023-04-17 15:15:00+05:30,1145.8,1146.9,1.1000000000001364,1.0,2023-04-17 11:30:00+05:30,SBILIFE
0,BUY,-1,-1,25553.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,SHREECEM
0,BUY,-1,-1,1327.1,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,SHRIRAMFIN
0,BUY,-1,-1,3340.4,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,SIEMENS
0,BUY,-1,-1,999.6,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,SUNPHARMA
0,BUY,-1,-1,423.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,SUNTV
0,BUY,-1,-1,992.9,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,TATACHEM
0,BUY,-1,-1,1266.2,-2.0,-1.0,-1.0,2023-04-17 10:00:00+05:30,TATACOMM
0,BUY,-1,-1,713.8,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,TATACONSUM
0,BUY,-1,-1,472.7,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,TATAMOTORS
0,BUY,-1,-1,197.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,TATAPOWER
0,SELL,-1,-1,3136.3,-1.0,-1.0,-1.0,2023-04-17 15:45:00+05:30,TCS
0,SELL,-1,-1,1028.9,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,TECHM
0,BUY,-1,-1,2610.2,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,TITAN
0,SELL,-1,-1,1361.9,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,TRENT
0,BUY,-1,-1,1170.5,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,TVSMOTOR
0,SELL,-1,-1,1408.0,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,UBL
0,BUY,-1,-1,7750.8,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,ULTRACEMCO
0,BUY,-1,-1,738.5,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,UPL
0,BUY,-1,-1,279.3,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,VEDL
0,BUY,-1,-1,836.8,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,VOLTAS
0,BUY,-1,-1,503.1,-1.0,-1.0,-1.0,2023-04-17 16:00:00+05:30,ZYDUSLIFE
