,date,buy_price,sell_price,gain,pl,streak,buy_open,buy_low,buy_high,sell_open,sell_low,sell_high,negOpening,posClosing,ns,nO,movDay,,,,,,
4,2020-03-19 00:00:00+05:30,8263.45,8745.45,482,1,1,8063.3,7832.55,8575.45,8284.45,8178.2,8883,21,482,FALSE,0,461,,,,,,
54,2022-08-29 00:00:00+05:30,17312.9,17759.3,446.4,1,3,17188.65,17166.2,17380.15,17414.95,17401.5,17777.65,102.05,446.4,FALSE,0,344.35,,,Row Labels,Count of date,Sum of gain,
23,2021-03-26 00:00:00+05:30,14507.3,14845.1,337.8,1,1,14506.3,14414.25,14572.9,14628.5,14617.6,14876.3,121.2,337.8,FALSE,0,216.6,,,0,31,-3649.66,-117.7309677
43,2022-03-08 00:00:00+05:30,16013.45,16345.35,331.9,1,1,15747.75,15671.45,16028.75,16078,15990,16418.05,64.55,331.9,FALSE,0,267.35,,61%,1,48,6719.17,139.9827083
5,2020-03-25 00:00:00+05:30,8317.85,8641.45,323.6,1,2,7735.15,7714.75,8376.75,8451,8304.9,8749.04,133.15,323.6,FALSE,0,190.45,,,Grand Total,79,3069.51,38.85455696
67,2023-03-29 00:00:00+05:30,17080.7,17359.75,279.05,1,4,16977.3,16940.6,17126.15,17210.35,17204.65,17381.6,129.65,279.05,FALSE,0,149.4,,,,,,
0,2020-02-03 00:00:00+05:30,11707.9,11979.65,271.75,1,1,11627.45,11614.5,11749.85,11786.25,11783.4,11986.15,78.35,271.75,,0,193.4,,,,,,
66,2023-02-02 00:00:00+05:30,17610.4,17854.05,243.65,1,3,17517.1,17445.95,17653.9,17721.75,17584.2,17870.3,111.35,243.65,FALSE,0,132.3,,,,,,
37,2021-12-01 00:00:00+05:30,17166.9,17401.65,234.75,1,1,17104.4,17064.25,17213.05,17183.2,17149.3,17420.34,16.3,234.75,FALSE,0,218.45,,,,,,
52,2022-07-15 00:00:00+05:30,16049.2,16278.5,229.3,1,1,16010.8,15927.3,16066.95,16151.4,16142.2,16287.95,102.2,229.3,FALSE,0,127.1,,,,,,
55,2022-09-19 00:00:00+05:30,17622.25,17816.25,194,1,4,17540.65,17429.7,17667.2,17770.4,17744.4,17919.3,148.15,194,FALSE,0,45.85,,,,,,
7,2020-05-12 00:00:00+05:30,9196.54,9383.54,187,1,1,9168.85,9043.95,9240.85,9584.2,9351.1,9584.5,387.66,187,FALSE,0,-200.66,,,,,,
15,2020-09-25 00:00:00+05:30,11050.25,11227.55,177.3,1,6,10910.4,10854.85,11072.6,11140.85,11099.85,11239.35,90.6,177.3,FALSE,0,86.7,,,,,,
44,2022-03-29 00:00:00+05:30,17325.3,17498.25,172.95,1,2,17297.2,17235.7,17343.65,17468.15,17387.2,17522.5,142.85,172.95,FALSE,0,30.1,,,,,,
14,2020-09-09 00:00:00+05:30,11278,11449.25,171.25,1,5,11218.6,11185.15,11298.15,11363.3,11327.4,11464.05,85.3,171.25,FALSE,0,85.95,,,,,,
11,2020-07-16 00:00:00+05:30,10739.95,10901.7,161.75,1,2,10706.2,10595.2,10755.3,10752,10749.65,10933.45,12.05,161.75,FALSE,0,149.7,,,,,,
33,2021-10-01 00:00:00+05:30,17532.05,17691.25,159.2,1,2,17531.9,17452.9,17557.15,17615.55,17581.34,17750.9,83.5,159.2,FALSE,0,75.7,,,,,,
70,2023-06-27 00:00:00+05:30,18817.4,18972.1,154.7,1,7,18748.55,18714.25,18829.25,18908.15,18861.35,19011.25,90.75,154.7,FALSE,0,63.95,,,,,,
40,2022-02-09 00:00:00+05:30,17463.8,17605.85,142.05,1,1,17370.09,17339,17477.15,17554.1,17427.15,17639.45,90.3,142.05,FALSE,0,51.75,,,,,,
19,2021-01-19 00:00:00+05:30,14521.15,14644.7,123.55,1,2,14371.65,14350.85,14546.05,14538.3,14517.55,14666.45,17.15,123.55,FALSE,0,106.4,,,,,,
10,2020-07-01 00:00:00+05:30,10430.04,10551.7,121.66,1,1,10323.79,10299.6,10447.04,10493.05,10485.54,10598.2,63.01,121.66,FALSE,0,58.65,,,,,,
62,2022-12-26 00:00:00+05:30,18014.6,18132.3,117.7,1,1,17830.4,17774.25,18084.1,18089.8,17967.45,18149.25,75.2,117.7,FALSE,0,42.5,,,,,,
21,2021-02-24 00:00:00+05:30,14982,15097.35,115.35,1,1,14729.15,14723.05,15008.8,15079.85,15065.35,15176.5,97.85,115.35,FALSE,0,17.5,,,,,,
28,2021-07-02 00:00:00+05:30,15722.2,15834.35,112.15,1,3,15705.85,15635.95,15738.35,15793.4,15762.05,15845.95,71.2,112.15,FALSE,0,40.95,,,,,,
64,2023-01-17 00:00:00+05:30,18053.3,18165.35,112.05,1,1,17922.8,17886.95,18072.05,18074.3,18032.45,18183.75,21,112.05,FALSE,0,91.05,,,,,,
69,2023-05-19 00:00:00+05:30,18203.4,18314.4,111,1,6,18186.15,18060.4,18218.1,18201.1,18178.85,18335.25,-2.3,111,1,1,113.3,,,,,,
16,2020-10-16 00:00:00+05:30,11762.45,11873.05,110.6,1,7,11727.4,11667.85,11789.75,11879.2,11820.4,11898.25,116.75,110.6,FALSE,0,-6.15,,,,,,
32,2021-09-15 00:00:00+05:30,17519.45,17629.5,110.05,1,1,17387.65,17386.9,17532.7,17539.2,17510.45,17644.59,19.75,110.05,FALSE,0,90.3,,,,,,
77,2023-10-05 00:00:00+05:30,19545.75,19653.5,107.75,1,1,19521.85,19487.3,19576.95,19621.2,19589.4,19675.75,75.45,107.75,FALSE,0,32.3,,,,,,
26,2021-05-05 00:00:00+05:30,14617.85,14724.8,106.95,1,1,14604.15,14506.6,14637.9,14668.35,14611.5,14743.9,50.5,106.95,FALSE,0,56.45,,,,,,
18,2020-11-03 00:00:00+05:30,11813.5,11908.5,95,1,1,11734.45,11723.3,11836.2,11783.35,11756.4,11929.65,-30.15,95,1,1,125.15,,,,,,
74,2023-08-18 00:00:00+05:30,19310.15,19393.6,83.45,1,3,19301.75,19253.6,19373.8,19320.65,19296.3,19425.95,10.5,83.45,FALSE,0,72.95,,,,,,
72,2023-08-04 00:00:00+05:30,19517,19597.3,80.3,1,1,19462.8,19436.45,19538.85,19576.85,19524.8,19620.45,59.85,80.3,FALSE,0,20.45,,,,,,
24,2021-04-13 00:00:00+05:30,14504.8,14581.45,76.65,1,2,14364.9,14274.9,14528.9,14522.4,14353.2,14597.55,17.6,76.65,FALSE,0,59.05,,,,,,
50,2022-06-17 00:00:00+05:30,15293.5,15350.15,56.65,1,1,15272.65,15183.4,15400.4,15334.5,15191.1,15382.5,41,56.65,FALSE,0,15.65,,,,,,
60,2022-12-13 00:00:00+05:30,18608,18660.3,52.3,1,1,18524.4,18490.2,18617.25,18671.25,18632.9,18696.1,63.25,52.3,FALSE,0,-10.95,,,,,,
29,2021-07-13 00:00:00+05:30,15812.35,15853.95,41.6,1,4,15794,15744.6,15820.8,15808.7,15764.2,15877.35,-3.65,41.6,1,1,45.25,,,,,,
8,2020-05-20 00:00:00+05:30,9066.54,9106.25,39.71,1,2,8889.15,8875.35,9093.79,9079.45,9056.1,9178.54,12.91,39.71,FALSE,0,26.8,,,,,,
75,2023-08-28 00:00:00+05:30,19306.05,19342.65,36.6,1,4,19298.35,19249.7,19366.85,19374.85,19309.1,19377.9,68.8,36.6,FALSE,0,-32.2,,,,,,
30,2021-07-22 00:00:00+05:30,15824.05,15856.05,32,1,5,15736.6,15726.4,15834.8,15856.8,15768.4,15899.8,32.75,32,FALSE,0,-0.75,,,,,,
73,2023-08-14 00:00:00+05:30,19434.55,19465,30.45,1,2,19383.95,19257.9,19465.85,19369,19317.2,19482.75,-65.55,30.45,1,1,96,,,,,,
53,2022-08-23 00:00:00+05:30,17577.5,17604.95,27.45,1,2,17357.35,17345.2,17625.55,17525.45,17499.25,17623.65,-52.05,27.45,1,1,79.5,,,,,,
27,2021-06-21 00:00:00+05:30,15746.5,15772.75,26.25,1,2,15525.85,15505.65,15765.15,15840.5,15752.1,15895.75,94,26.25,FALSE,0,-67.75,,,,,,
68,2023-04-24 00:00:00+05:30,17743.4,17769.25,25.85,1,5,17707.55,17612.5,17754.5,17761.55,17716.85,17807.45,18.15,25.85,FALSE,0,7.7,,,,,,
13,2020-08-18 00:00:00+05:30,11385.35,11408.4,23.05,1,4,11259.8,11253.15,11401.7,11452.15,11394.1,11460.35,66.8,23.05,FALSE,0,-43.75,,,,,,
58,2022-11-22 00:00:00+05:30,18244.2,18267.25,23.05,1,1,18179.15,18137.7,18261.85,18325.2,18246,18325.4,81,23.05,FALSE,0,-57.95,,,,,,
65,2023-01-30 00:00:00+05:30,17648.95,17662.15,13.2,1,2,17541.95,17405.55,17709.15,17731.45,17537.55,17735.7,82.5,13.2,FALSE,0,-69.3,,,,,,
12,2020-08-04 00:00:00+05:30,11095.25,11101.65,6.4,1,3,10946.65,10908.1,11112.25,11155.75,11064.05,11225.65,60.5,6.4,FALSE,0,-54.1,,,,,,
22,2021-03-19 00:00:00+05:30,14744,14736.4,-7.6,0,1,14471.15,14350.1,14788.25,14736.3,14597.85,14763.9,-7.7,-7.6,0,1,0.1,,,,,,
39,2022-01-27 00:00:00+05:30,17110.15,17101.95,-8.2,0,2,17062,16866.75,17182.5,17208.3,17077.09,17373.5,98.15,-8.2,FALSE,0,-106.35,,,,,,
31,2021-07-29 00:00:00+05:30,15778.45,15763.05,-15.4,0,1,15762.7,15737.8,15817.35,15800.6,15744.85,15862.8,22.15,-15.4,FALSE,0,-37.55,,,,,,
47,2022-05-17 00:00:00+05:30,16259.3,16240.3,-19,0,3,15912.6,15900.8,16284.25,16318.15,16211.2,16399.8,58.85,-19,FALSE,0,-77.85,,,,,,
71,2023-07-31 00:00:00+05:30,19753.8,19733.55,-20.25,0,1,19666.35,19597.6,19772.75,19784,19704.6,19795.6,30.2,-20.25,FALSE,0,-50.45,,,,,,
51,2022-07-04 00:00:00+05:30,15835.35,15810.85,-24.5,0,1,15710.5,15661.8,15852.35,15909.15,15785.45,16025.75,73.8,-24.5,FALSE,0,-98.3,,,,,,
41,2022-02-22 00:00:00+05:30,17092.2,17063.25,-28.95,0,1,16847.95,16843.8,17148.55,17194.5,17027.85,17220.7,102.3,-28.95,FALSE,0,-131.25,,,,,,
61,2022-12-19 00:00:00+05:30,18420.45,18385.3,-35.15,0,1,18288.1,18244.55,18431.65,18340.3,18202.65,18404.9,-80.15,-35.15,0,1,45,,,,,,
49,2022-06-14 00:00:00+05:30,15732.1,15692.15,-39.95,0,5,15674.25,15659.45,15858,15729.25,15678.9,15783.65,-2.85,-39.95,0,1,-37.1,,,,,,
35,2021-11-01 00:00:00+05:30,17929.65,17888.95,-40.7,0,2,17783.15,17697.09,17954.09,17970.9,17847.59,18012.25,41.25,-40.7,FALSE,0,-81.95,,,,,,
1,2020-02-19 00:00:00+05:30,12125.9,12080.85,-45.05,0,1,12090.6,12042.1,12134.7,12119,12071.45,12152,-6.9,-45.05,0,1,-38.15,,,,,,
34,2021-10-26 00:00:00+05:30,18268.4,18210.95,-57.45,0,1,18154.5,18099.3,18310.45,18295.84,18167.9,18342.05,27.44,-57.45,FALSE,0,-84.89,,,,,,
46,2022-05-09 00:00:00+05:30,16301.85,16240.05,-61.8,0,2,16227.7,16142.1,16403.7,16248.9,16197.3,16404.55,-52.95,-61.8,0,1,-8.85,,,,,,
25,2021-04-22 00:00:00+05:30,14406.15,14341.35,-64.8,0,1,14219.15,14151.4,14424.75,14326.35,14273.3,14461.15,-79.8,-64.8,0,1,15,,,,,,
78,2023-10-19 00:00:00+05:30,19624.7,19542.65,-82.05,0,1,19545.2,19512.35,19681.8,19542.15,19518.7,19593.8,-82.55,-82.05,0,1,0.5,,,,,,
36,2021-11-23 00:00:00+05:30,17503.34,17415.05,-88.29,0,3,17281.75,17216.09,17553.7,17550.05,17354,17600.59,46.71,-88.29,FALSE,0,-135,,,,,,
6,2020-04-07 00:00:00+05:30,8792.2,8688.9,-103.3,0,1,8446.29,8360.95,8819.4,8688.9,8653.9,9131.7,-103.3,-103.3,0,1,0,,,,,,
57,2022-10-12 00:00:00+05:30,17123.6,17014.35,-109.25,0,2,17025.55,16960.05,17142.35,17087.35,16956.95,17112.35,-36.25,-109.25,0,1,-73,,,,,,
59,2022-12-08 00:00:00+05:30,18609.35,18496.6,-112.75,0,1,18570.85,18536.95,18625,18662.4,18410.1,18664.7,53.05,-112.75,FALSE,0,-165.8,,,,,,
45,2022-04-28 00:00:00+05:30,17245.05,17102.55,-142.5,0,1,17189.5,17071.05,17322.5,17329.25,17053.25,17377.65,84.2,-142.5,FALSE,0,-226.7,,,,,,
9,2020-06-12 00:00:00+05:30,9972.9,9813.7,-159.2,0,1,9544.95,9544.35,9996.04,9919.35,9726.35,9943.35,-53.55,-159.2,0,1,-105.65,,,,,,
17,2020-10-27 00:00:00+05:30,11889.4,11729.6,-159.8,0,1,11807.1,11723,11899.05,11922.6,11684.85,11929.4,33.2,-159.8,FALSE,0,-193,,,,,,
42,2022-02-25 00:00:00+05:30,16658.4,16481.6,-176.8,0,2,16515.65,16478.3,16748.8,16481.6,16356.3,16815.9,-176.8,-176.8,0,1,0,,,,,,
20,2021-01-28 00:00:00+05:30,13817.55,13634.6,-182.95,0,1,13810.4,13713.25,13898.25,13946.6,13596.75,13966.85,129.05,-182.95,FALSE,0,-312,,,,,,
63,2023-01-09 00:00:00+05:30,18101.2,17914.15,-187.05,0,1,17952.55,17936.15,18141.4,18121.3,17856,18127.6,20.1,-187.05,FALSE,0,-207.15,,,,,,
76,2023-09-27 00:00:00+05:30,19716.45,19523.55,-192.9,0,1,19637.05,19554,19730.7,19761.8,19492.1,19766.65,45.35,-192.9,FALSE,0,-238.25,,,,,,
48,2022-06-09 00:00:00+05:30,16478.1,16283.95,-194.15,0,4,16263.85,16243.85,16492.8,16283.95,16172.6,16324.7,-194.15,-194.15,0,1,0,,,,,,
56,2022-09-30 00:00:00+05:30,17094.35,16887.35,-207,0,1,16798.05,16747.7,17187.1,17102.1,16855.55,17114.65,7.75,-207,FALSE,0,-214.75,,,,,,
2,2020-03-06 00:00:00+05:30,10989.45,10742.05,-247.4,0,2,10942.65,10827.4,11035.1,10742.05,10294.45,10751.55,-247.4,-247.4,0,1,0,,,,,,
3,2020-03-13 00:00:00+05:30,9955.2,9587.79,-367.41,0,3,9107.6,8555.15,10159.4,9587.79,9165.1,9602.2,-367.41,-367.41,0,1,0,,,,,,
38,2022-01-21 00:00:00+05:30,17617.15,17149.09,-468.06,0,1,17613.7,17485.84,17707.59,17575.15,16997.84,17599.4,-42,-468.06,0,1,-426.06,,,,,,
