,placed_by,order_id,exchange_order_id,parent_order_id,status,status_message,status_message_raw,order_timestamp,exchange_update_timestamp,exchange_timestamp,variety,modified,exchange,tradingsymbol,instrument_token,order_type,transaction_type,validity,validity_ttl,product,quantity,disclosed_quantity,price,trigger_price,average_price,filled_quantity,pending_quantity,cancelled_quantity,market_protection,meta,tag,guid,tags
0,ZZ4000,230421600086567,1500000003320706,,COMPLETE,,,2023-04-21 09:20:09,2023-04-21 09:20:09,2023-04-21 09:20:09,regular,False,NFO,BANKNIFTY23APR42200CE,13687298,MARKET,BUY,DAY,0,NRML,25,0,0.0,0.0,354.65,25,0,0,0,{},,01XfHyiv3wGoTPS,
1,ZZ4000,230421600092753,1500000003820564,,COMPLETE,,,2023-04-21 09:20:48,2023-04-21 09:20:48,2023-04-21 09:20:48,regular,False,NFO,BANKNIFTY23APR42200CE,13687298,MARKET,BUY,DAY,0,NRML,25,0,0.0,0.0,346.6,25,0,0,0,{},,01Xlw41IY7ZXhW6,
2,ZZ4000,230421600200730,1500000011544477,,COMPLETE,,,2023-04-21 09:34:57,2023-04-21 09:34:57,2023-04-21 09:34:53,regular,False,NFO,BANKNIFTY23APR42200CE,13687298,LIMIT,SELL,DAY,0,NRML,50,0,323.0,0.0,323.0,50,0,0,0,{'gtt': True},,,
3,ZZ4000,230421600211659,1500000012331802,,COMPLETE,,,2023-04-21 09:36:21,2023-04-21 09:36:21,2023-04-21 09:36:21,regular,False,NFO,BANKNIFTY23APR42200CE,13687298,MARKET,BUY,DAY,0,NRML,50,0,0.0,0.0,329.1,50,0,0,0,{},,01XOoXyTDYPo407,
4,ZZ4000,230421600297068,1500000019020573,,COMPLETE,,,2023-04-21 09:51:26,2023-04-21 09:51:26,2023-04-21 09:51:26,regular,False,NFO,BANKNIFTY23APR42200CE,13687298,MARKET,SELL,DAY,0,NRML,50,0,0.0,0.0,299.4,50,0,0,0,{},,01XMBHnR0227tJ2,
5,ZZ4000,230421600401742,1600000025982598,,COMPLETE,,,2023-04-21 10:14:04,2023-04-21 10:14:04,2023-04-21 10:14:04,regular,False,NFO,BANKNIFTY23APR42100CE,13686786,MARKET,BUY,DAY,0,NRML,100,0,0.0,0.0,344.9375,100,0,0,0,{},,01X21xkoL8kEsBN,
6,ZZ4000,230421600540269,1200000007393346,,CANCELLED,,,2023-04-21 10:55:42,2023-04-21 10:55:42,2023-04-21 10:55:42,regular,False,NSE,NAUKRI,3520257,SL,BUY,DAY,0,MIS,2,0,3638.4,3638.4,0.0,0,2,2,0,{},TradeViaPython,01XQ4DUJ92xTaVd,['TradeViaPython']
7,ZZ4000,230421600540330,1200000007394154,,CANCELLED,,,2023-04-21 10:55:42,2023-04-21 10:55:42,2023-04-21 10:55:42,regular,False,NSE,PVR,3365633,SL,SELL,DAY,0,MIS,6,0,1482.3,1482.3,0.0,0,6,6,0,{},TradeViaPython,01X9wdTLWZ7EUbd,['TradeViaPython']
8,ZZ4000,230421600555029,1000000006899675,,CANCELLED,,,2023-04-21 11:08:58,2023-04-21 11:08:58,2023-04-21 11:08:58,regular,False,NSE,ATUL,67329,SL,BUY,DAY,0,MIS,1,0,7014.5,7014.5,0.0,0,1,1,0,{},TradeViaPython,01XGsrwI44Is2ab,['TradeViaPython']
9,ZZ4000,230421600555068,1200000007638776,,CANCELLED,,,2023-04-21 11:08:58,2023-04-21 11:08:58,2023-04-21 11:08:58,regular,False,NSE,KOTAKBANK,492033,SL,BUY,DAY,0,MIS,5,0,1903.8,1903.8,0.0,0,5,5,0,{},TradeViaPython,01X1CDU8dljvJVD,['TradeViaPython']
10,ZZ4000,230421600576911,1000000007283327,,CANCELLED,,,2023-04-21 11:08:58,2023-04-21 11:08:58,2023-04-21 11:08:58,regular,False,NSE,ATUL,67329,SL,BUY,DAY,0,MIS,1,0,7014.5,7014.5,0.0,0,1,1,0,{},TradeViaPython,01XfDfh7zC6BO7x,['TradeViaPython']
11,ZZ4000,230421600576946,1200000008037216,,CANCELLED,,,2023-04-21 11:08:58,2023-04-21 11:08:58,2023-04-21 11:08:58,regular,False,NSE,KOTAKBANK,492033,SL,BUY,DAY,0,MIS,5,0,1903.8,1903.8,0.0,0,5,5,0,{},TradeViaPython,01X26gRuhwdIZkC,['TradeViaPython']
12,ZZ4000,230421600584744,1000000007407731,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,ATUL,67329,SL,BUY,DAY,0,MIS,1,0,7014.5,7014.5,0.0,0,1,1,0,{},TradeViaPython,01XmY7tpXIAQE6a,['TradeViaPython']
13,ZZ4000,230421600584794,1200000008179477,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,KOTAKBANK,492033,SL,BUY,DAY,0,MIS,5,0,1903.8,1903.8,0.0,0,5,5,0,{},TradeViaPython,01XAiMV60XUuo2Q,['TradeViaPython']
14,ZZ4000,230421600591078,1000000007514582,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,ATUL,67329,SL,BUY,DAY,0,MIS,1,0,7014.5,7014.5,0.0,0,1,1,0,{},TradeViaPython,01XD2dRTpVw2vor,['TradeViaPython']
15,ZZ4000,230421600591125,1200000008297790,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,KOTAKBANK,492033,SL,BUY,DAY,0,MIS,5,0,1903.8,1903.8,0.0,0,5,5,0,{},TradeViaPython,01XC72fE4Jgtjjh,['TradeViaPython']
16,ZZ4000,230421600598766,1200000008456760,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,KOTAKBANK,492033,SL,BUY,DAY,0,MIS,5,0,1903.8,1903.8,0.0,0,5,5,0,{},TradeViaPython,01XFp685LP1MztC,['TradeViaPython']
17,ZZ4000,230421600601409,1000000007719214,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,AUBANK,5436929,SL,SELL,DAY,0,MIS,15,0,657.7,657.7,0.0,0,15,15,0,{},TradeViaPython,01XlaNsDVElQNZF,['TradeViaPython']
18,ZZ4000,230421600621428,1000000008091451,,TRIGGER PENDING,,,2023-04-21 11:27:11,2023-04-21 11:27:11,2023-04-21 11:27:11,regular,False,NSE,ATUL,67329,SL,BUY,DAY,0,MIS,1,0,7014.5,7014.5,0.0,0,1,0,0,{},TradeViaPython,01XUhKO0HDurgzs,['TradeViaPython']
19,ZZ4000,230421600621464,1200000008928347,,TRIGGER PENDING,,,2023-04-21 11:27:12,2023-04-21 11:27:12,2023-04-21 11:27:12,regular,False,NSE,KOTAKBANK,492033,SL,BUY,DAY,0,MIS,5,0,1903.8,1903.8,0.0,0,5,0,0,{},TradeViaPython,01Xb87rqOdFKemZ,['TradeViaPython']
20,ZZ4000,230421600621559,1000000008093778,,TRIGGER PENDING,,,2023-04-21 11:27:15,2023-04-21 11:27:15,2023-04-21 11:27:15,regular,False,NSE,AUBANK,5436929,SL,SELL,DAY,0,MIS,15,0,657.7,657.7,0.0,0,15,0,0,{},TradeViaPython,01X4M47LKV8rijZ,['TradeViaPython']
